"U:0","U:1","U:2","epsilon","k","nut","p","tmp<kEpsilon:G>","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10.1212,-0.0405027,5.76935e-21,11.8544,0.323539,0.000795876,-7.2454,0.00753187,1,0,0.02,0.02,0
10.1219,-0.0412612,7.88922e-21,11.8169,0.322576,0.000793662,-7.25176,0.00745184,1,0.000866666,0.0208667,0.02,0
10.1226,-0.042031,0,11.78,0.321619,0.000791434,-7.2568,0.00754572,1,0.00173333,0.0217333,0.02,0
10.1231,-0.0428103,-2.89711e-20,11.7435,0.320667,0.000789192,-7.26041,0.00782002,1,0.0026,0.0226,0.02,0
10.1235,-0.043597,-2.50471e-20,11.7077,0.319722,0.000786931,-7.26246,0.00829094,1,0.00346667,0.0234667,0.02,0
10.1238,-0.0443884,-2.78413e-20,11.6722,0.318783,0.00078466,-7.2631,0.00890398,1,0.00433333,0.0243333,0.02,0
10.1239,-0.0451819,-4.43577e-20,11.6369,0.31785,0.000782387,-7.26231,0.00963916,1,0.0052,0.0252,0.02,0
10.1239,-0.0459731,-3.73137e-21,11.6081,0.316926,0.000779801,-7.26007,0.0110665,1,0.00606667,0.0260667,0.02,0
10.1237,-0.046758,1.64566e-21,11.5852,0.316013,0.000776946,-7.25626,0.0133291,1,0.00693333,0.0269333,0.02,0
10.1234,-0.0475345,8.52766e-21,11.5626,0.315109,0.000774117,-7.25087,0.015956,1,0.0078,0.0278,0.02,0
10.1229,-0.0482993,-3.03735e-20,11.5411,0.314211,0.000771257,-7.24397,0.0189187,1,0.00866667,0.0286667,0.02,0
10.1224,-0.0490484,-3.16697e-20,11.5206,0.313321,0.000768371,-7.23557,0.0222163,1,0.00953333,0.0295333,0.02,0
10.1217,-0.049778,-2.46306e-20,11.5009,0.312437,0.000765474,-7.22569,0.0258439,1,0.0104,0.0304,0.02,0
10.1208,-0.0504842,-2.30519e-20,11.4819,0.31156,0.000762569,-7.21434,0.0297863,1,0.0112667,0.0312667,0.02,0
10.1198,-0.0511624,-2.04676e-20,11.4637,0.31069,0.000759651,-7.20154,0.0340246,1,0.0121333,0.0321333,0.02,0
10.1187,-0.0518043,4.17937e-20,11.4463,0.309826,0.000756722,-7.18718,0.0385547,1,0.013,0.033,0.02,0
10.1175,-0.0524075,-1.07948e-20,11.4299,0.308967,0.00075376,-7.17142,0.0432991,1,0.0138667,0.0338667,0.02,0
10.1162,-0.0529666,-6.04242e-20,11.4143,0.308111,0.000750766,-7.15431,0.0482194,1,0.0147333,0.0347333,0.02,0
10.1147,-0.053477,1.68621e-21,11.4,0.307258,0.000747723,-7.13586,0.0533317,1,0.0156,0.0356,0.02,0
10.1132,-0.0539359,3.70421e-20,11.3872,0.306409,0.000744618,-7.11608,0.0586955,1,0.0164667,0.0364667,0.02,0
10.1115,-0.0543427,4.03057e-20,11.3762,0.305566,0.000741433,-7.09502,0.0643528,1,0.0173333,0.0373333,0.02,0
10.1098,-0.0546972,3.57071e-21,11.367,0.304727,0.000738195,-7.0728,0.0702897,1,0.0182,0.0382,0.02,0
10.108,-0.0549982,-1.93828e-20,11.36,0.303895,0.000734875,-7.04955,0.0764336,1,0.0190667,0.0390667,0.02,0
10.1061,-0.0552436,1.87175e-20,11.3595,0.30307,0.000731204,-7.02539,0.0826891,1,0.0199333,0.0399333,0.02,0
10.1042,-0.0554304,8.9763e-20,11.3692,0.30225,0.000726925,-7.00039,0.0889698,1,0.0208,0.0408,0.02,0
10.1023,-0.0555561,7.15532e-20,11.389,0.301434,0.000722072,-6.97458,0.0952207,1,0.0216667,0.0416667,0.02,0
10.1003,-0.0556192,-1.11283e-20,11.4196,0.30062,0.000716629,-6.94801,0.101397,1,0.0225333,0.0425333,0.02,0
10.0983,-0.0556194,-3.18593e-20,11.4612,0.299805,0.000710606,-6.92078,0.107473,1,0.0234,0.0434,0.02,0
10.0963,-0.055557,-3.52378e-20,11.5162,0.298991,0.000703887,-6.89302,0.113444,1,0.0242667,0.0442667,0.02,0
10.0943,-0.055433,-2.11406e-20,11.5884,0.298171,0.000696214,-6.86483,0.119339,1,0.0251333,0.0451333,0.02,0
10.0923,-0.0552498,-4.07419e-21,11.679,0.297353,0.000687606,-6.83629,0.125214,1,0.026,0.046,0.02,0
10.0904,-0.055011,-1.71345e-20,11.7884,0.29652,0.000678028,-6.8075,0.13109,1,0.0268667,0.0468667,0.02,0
10.0885,-0.0547209,-2.08048e-20,11.9171,0.29568,0.000667553,-6.77858,0.137016,1,0.0277333,0.0477333,0.02,0
10.0866,-0.0543847,-3.96907e-20,12.0653,0.294816,0.000656176,-6.74962,0.143014,1,0.0286,0.0486,0.02,0
10.0848,-0.0540082,-4.86621e-20,12.2325,0.293936,0.000644021,-6.72071,0.149158,1,0.0294667,0.0494667,0.02,0
10.0831,-0.0535983,-5.85354e-20,12.4181,0.293016,0.000631106,-6.69188,0.155471,1,0.0303333,0.0503333,0.02,0
10.0815,-0.0531631,-8.79871e-20,12.6209,0.292056,0.000617552,-6.6632,0.16204,1,0.0312,0.0512,0.02,0
10.0799,-0.0527108,-7.83453e-20,12.8394,0.291069,0.000603561,-6.63475,0.168906,1,0.0320667,0.0520667,0.02,0
10.0784,-0.0522499,-4.58479e-20,13.0718,0.290018,0.000589148,-6.6066,0.176066,1,0.0329333,0.0529333,0.02,0
10.077,-0.0517901,-5.80703e-20,13.3159,0.288894,0.000574396,-6.57879,0.183673,1,0.0338,0.0538,0.02,0
10.0758,-0.0513419,-4.39797e-20,13.5703,0.287754,0.000559644,-6.5513,0.19188,1,0.0346667,0.0546667,0.02,0
10.0746,-0.050916,3.47213e-20,13.8331,0.28656,0.000544874,-6.52417,0.20052,1,0.0355333,0.0555333,0.02,0
10.0735,-0.050524,5.24313e-20,14.1028,0.285245,0.000529876,-6.4974,0.209934,1,0.0364,0.0564,0.02,0
10.0725,-0.0501849,5.12323e-20,14.3798,0.283986,0.000515379,-6.47101,0.221044,1,0.0372667,0.0572667,0.02,0
10.0716,-0.0499095,4.06658e-20,14.6626,0.282894,0.000501766,-6.44494,0.233497,1,0.0381333,0.0581333,0.02,0
10.0707,-0.0497103,5.49729e-20,14.9508,0.282123,0.00048945,-6.41909,0.247364,1,0.039,0.059,0.02,0
10.07,-0.0496015,3.66912e-20,15.2443,0.281723,0.000478602,-6.39335,0.262903,1,0.0398667,0.0598667,0.02,0
10.0692,-0.0495964,1.5829e-20,15.5436,0.281595,0.000468835,-6.36763,0.280132,1,0.0407333,0.0607333,0.02,0
10.0686,-0.0497082,5.12909e-20,15.8492,0.28165,0.000459786,-6.34187,0.299074,1,0.0416,0.0616,0.02,0
10.0679,-0.0499504,1.20762e-19,16.1615,0.281859,0.00045129,-6.316,0.319862,1,0.0424667,0.0624667,0.02,0
10.0673,-0.050337,5.1594e-20,16.4815,0.282189,0.000443185,-6.28989,0.342672,1,0.0433333,0.0633333,0.02,0
10.0666,-0.050913,2.46726e-20,16.8119,0.282894,0.000436333,-6.26325,0.368335,1,0.0442,0.0642,0.02,0
10.0659,-0.0516756,3.59497e-20,17.1525,0.284044,0.000430913,-6.23592,0.396688,1,0.0450667,0.0650667,0.02,0
10.0651,-0.0526294,2.07076e-20,17.5038,0.28556,0.000426565,-6.20775,0.427838,1,0.0459333,0.0659333,0.02,0
10.0642,-0.0537863,2.54651e-20,17.8667,0.287421,0.000423161,-6.17845,0.462034,1,0.0468,0.0668,0.02,0
10.0631,-0.0551585,6.54471e-20,18.242,0.289615,0.000420623,-6.14771,0.499511,1,0.0476667,0.0676667,0.02,0
10.0619,-0.0567585,8.5538e-20,18.6303,0.292126,0.000418864,-6.11523,0.540473,1,0.0485333,0.0685333,0.02,0
10.0604,-0.0586549,-1.97428e-20,19.0363,0.294992,0.000417906,-6.08038,0.58644,1,0.0494,0.0694,0.02,0
